Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2010,0.060306,0.060375,0.05796,0.09729,60306,60375,57960,97290,Apple,Others,,,,,,,,,,,,,,,,,,
2011,0.106917157,0.122783558,0.133909789,0.112381519,106917.1571,122783.5579,133909.7892,112381.5192,Apple,Others,,,,,,,,,,,,,,,,,,
2012,0.259630998,0.245752236,0.182456666,0.188625005,259630.9985,245752.2356,182456.6655,188625.0046,Apple,Others,,,,,,,,,,,,,,,,,,
2013,0.310973612,0.243560207,0.203281348,0.219939487,310973.612,243560.2071,203281.3484,219939.4871,Apple,Others,,,,,,,,,,,,,,,,,,
2014,0.344224579,0.294914728,0.237442782,0.264897104,344224.5786,294914.7281,237442.782,264897.1037,Apple,Others,,,,,,,,,,,,,,,,,,
2015,0.523782584,0.43023742,0.334300876,0.337958281,523782.5842,430237.4201,334300.8759,337958.2808,Apple,Others,,,,,,,,,,,,,,,,,,
2016,0.497702264,0.340697765,0.267287014,0.302894223,497702.2639,340697.7653,267287.0141,302894.2234,Apple,Others,,,,,,,,,,,,,,,,,,
2017,0.575776071,0.373309406,0.301751082,0.343303449,575776.0713,373309.4058,301751.0819,343303.4488,Apple,Others,,,,,,,,,,,,,,,,,,
2018,0.589977984,0.398456419,0.315133093,0.3577867,589977.9839,398456.419,315133.0928,357786.7003,Apple,Others,,,,,,,,,,,,,,,,,,
2010,0.275440122,0.275755271,0.26472506,0.444359922,275440.1217,275755.2706,264725.0598,444359.9218,Samsung,UK,,,,,,,,,,,,,,,,,,
2011,1.546314351,1.775785877,1.936701595,1.625343964,1546314.351,1775785.877,1936701.595,1625343.964,Samsung,UK,,,,,,,,,,,,,,,,,,
2012,15.96824989,15.11465554,11.22174797,11.60112323,15968249.89,15114655.54,11221747.97,11601123.23,Samsung,UK,,,,,,,,,,,,,,,,,,
2013,13.55830606,10.6191127,8.862973035,9.589260198,13558306.06,10619112.7,8862973.035,9589260.198,Samsung,UK,,,,,,,,,,,,,,,,,,
2014,27.50038239,23.56097821,18.96949755,21.16284571,27500382.39,23560978.21,18969497.55,21162845.71,Samsung,UK,,,,,,,,,,,,,,,,,,
2015,39.83906823,32.7239936,25.42702985,25.70521322,39839068.23,32723993.6,25427029.85,25705213.22,Samsung,UK,,,,,,,,,,,,,,,,,,
2016,49.70730059,34.02670122,26.69490762,30.25112663,49707300.59,34026701.22,26694907.62,30251126.63,Samsung,UK,,,,,,,,,,,,,,,,,,
2017,47.86162724,31.03150082,25.08318515,28.53724307,47861627.24,31031500.82,25083185.15,28537243.07,Samsung,UK,,,,,,,,,,,,,,,,,,
2018,43.27974843,29.23006289,23.11761006,26.24660377,43279748.43,29230062.89,23117610.06,26246603.77,Samsung,UK,,,,,,,,,,,,,,,,,,
2010,4.032823299,4.037437514,3.875940013,6.506042165,4032823.299,4037437.514,3875940.013,6506042.165,Samsung,US,,,,,,,,,,,,,,,,,,
2011,7.117485194,8.173712984,8.914387244,7.481248292,7117485.194,8173712.984,8914387.244,7481248.292,Samsung,US,,,,,,,,,,,,,,,,,,
2012,17.70375695,16.75738982,12.44138211,12.86198973,17703756.95,16757389.82,12441382.11,12861989.73,Samsung,US,,,,,,,,,,,,,,,,,,
2013,18.97722286,14.86330721,12.40528232,13.42184835,18977222.86,14863307.21,12405282.32,13421848.35,Samsung,US,,,,,,,,,,,,,,,,,,
2014,28.62354157,24.52324589,19.74424189,22.02716985,28623541.57,24523245.89,19744241.89,22027169.85,Samsung,US,,,,,,,,,,,,,,,,,,
2015,39.14041578,32.15011727,24.9811194,25.25442431,39140415.78,32150117.27,24981119.4,25254424.31,Samsung,US,,,,,,,,,,,,,,,,,,
2016,42.47867959,29.07841145,22.81283461,25.851895,42478679.59,29078411.45,22812834.61,25851895,Samsung,US,,,,,,,,,,,,,,,,,,
2017,36.63857055,23.75493475,19.2014376,21.84555465,36638570.55,23754934.75,19201437.6,21845554.65,Samsung,US,,,,,,,,,,,,,,,,,,
2018,31.92793239,21.5633294,17.0541077,19.36239976,31927932.39,21563329.4,17054107.7,19362399.76,Samsung,US,,,,,,,,,,,,,,,,,,
2010,9.507433167,9.518311237,9.137578787,15.33807868,9507433.167,9518311.237,9137578.787,15338078.68,Samsung,China,,,,,,,,,,,,,,,,,,
2011,18.17104328,20.8676082,22.75856036,19.09973576,18171043.28,20867608.2,22758560.36,19099735.76,Samsung,China,,,,,,,,,,,,,,,,,,
2012,30.296089,28.67658964,21.29069106,22.01046855,30296089,28676589.64,21290691.06,22010468.55,Samsung,China,,,,,,,,,,,,,,,,,,
2013,49.98179765,39.14665591,32.67276331,35.35017285,49981797.65,39146655.91,32672763.31,35350172.85,Samsung,China,,,,,,,,,,,,,,,,,,
2014,35.11290574,30.08301467,24.22054246,27.02104269,35112905.74,30083014.67,24220542.46,27021042.69,Samsung,China,,,,,,,,,,,,,,,,,,
2015,49.41378252,40.58870789,31.53802985,31.88307036,49413782.52,40588707.89,31538029.85,31883070.36,Samsung,China,,,,,,,,,,,,,,,,,,
2016,47.73585849,32.67716764,25.63616043,29.05133619,47735858.49,32677167.64,25636160.43,29051336.19,Samsung,China,,,,,,,,,,,,,,,,,,
2017,47.86162724,31.03150082,25.08318515,28.53724307,47861627.24,31031500.82,25083185.15,28537243.07,Samsung,China,,,,,,,,,,,,,,,,,,
2018,45.63521226,30.82088443,24.37576651,27.67505307,45635212.26,30820884.43,24375766.51,27675053.07,Samsung,China,,,,,,,,,,,,,,,,,,
2010,1.605151054,1.606987611,1.542708107,2.589545751,1605151.054,1606987.611,1542708.107,2589545.751,Samsung,Canada,,,,,,,,,,,,,,,,,,
2011,3.495854214,4.014635535,4.378428246,3.67452164,3495854.214,4014635.535,4378428.246,3674521.64,Samsung,Canada,,,,,,,,,,,,,,,,,,
2012,4.849910141,4.590654685,3.408292683,3.52351733,4849910.141,4590654.685,3408292.683,3523517.33,Samsung,Canada,,,,,,,,,,,,,,,,,,
2013,11.0250726,8.635038027,7.207015441,7.797603134,11025072.6,8635038.027,7207015.441,7797603.134,Samsung,Canada,,,,,,,,,,,,,,,,,,
2014,7.964219653,6.823352601,5.493641618,6.128843931,7964219.653,6823352.601,5493641.618,6128843.931,Samsung,Canada,,,,,,,,,,,,,,,,,,
2015,11.30546695,9.286362473,7.215641791,7.294584222,11305466.95,9286362.473,7215641.791,7294584.222,Samsung,Canada,,,,,,,,,,,,,,,,,,
2016,10.83450653,7.416667418,5.818584948,6.593720144,10834506.53,7416667.418,5818584.948,6593720.144,Samsung,Canada,,,,,,,,,,,,,,,,,,
2017,9.14766925,5.930970636,4.794084421,5.454249592,9147669.25,5930970.636,4794084.421,5454249.592,Samsung,Canada,,,,,,,,,,,,,,,,,,
2018,10.98709906,7.420412736,5.868691038,6.663024764,10987099.06,7420412.736,5868691.038,6663024.764,Samsung,Canada,,,,,,,,,,,,,,,,,,
2010,2.150332536,2.152792871,2.066681156,3.469071941,2150332.536,2152792.871,2066681.156,3469071.941,Samsung,Africa,,,,,,,,,,,,,,,,,,
2011,3.987863326,4.579658314,4.994651481,4.191676538,3987863.326,4579658.314,4994651.481,4191676.538,Samsung,Africa,,,,,,,,,,,,,,,,,,
2012,5.92766795,5.610800171,4.165691057,4.306521181,5927667.95,5610800.171,4165691.057,4306521.181,Samsung,Africa,,,,,,,,,,,,,,,,,,
