Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2018,21.19917453,14.31739387,11.32340802,12.85604363,21199174.53,14317393.87,11323408.02,12856043.63,SonyEricsson,Canada,,,,,,,,,,,,,,,,,,
2010,3.502838513,3.506846338,3.366572484,5.651032384,3502838.513,3506846.338,3366572.484,5651032.384,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2011,7.480018223,8.590045558,9.368446469,7.862309795,7480018.223,8590045.558,9368446.469,7862309.795,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2012,17.71168164,16.76489089,12.44695122,12.86774711,17711681.64,16764890.89,12446951.22,12867747.11,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2013,20.60730353,16.14001613,13.47085504,14.57474072,20607303.53,16140016.13,13470855.04,14574740.72,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2014,25.35616941,21.72392174,17.4904402,19.51277234,25356169.41,21723921.74,17490440.2,19512772.34,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2015,32.61436674,26.78959062,20.81591045,21.04364606,32614366.74,26789590.62,20815910.45,21043646.06,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2016,36.8676521,25.23743128,19.79947724,22.4371068,36867652.1,25237431.28,19799477.24,22437106.8,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2017,36.19156403,23.46511419,18.9671717,21.57902936,36191564.03,23465114.19,18967171.7,21579029.36,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2018,36.48689465,24.64233884,19.48924921,22.12714033,36486894.65,24642338.84,19489249.21,22127140.33,SonyEricsson,Africa,,,,,,,,,,,,,,,,,,
2010,1.939478374,1.941697457,1.864029559,3.128906759,1939478.374,1941697.457,1864029.559,3128906.759,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2011,4.146933941,4.762334852,5.193881549,4.358876993,4146933.941,4762334.852,5193881.549,4358876.993,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2012,8.067334189,7.636089003,5.669349593,5.861014121,8067334.189,7636089.003,5669349.593,5861014.121,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2013,9.890624568,7.746517631,6.465434432,6.995252362,9890624.568,7746517.631,6465434.432,6995252.362,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2014,11.64001334,9.972592263,8.029168519,8.957541129,11640013.34,9972592.263,8029168.519,8957541.129,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2015,14.65582303,12.03836034,9.353985075,9.456321962,14655823.03,12038360.34,9353985.075,9456321.962,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2016,16.88363227,11.55754394,9.067219468,10.27512844,16883632.27,11557543.94,9067219.468,10275128.44,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2017,17.57693515,11.39615824,9.211670065,10.48015498,17576935.15,11396158.24,9211670.065,10480154.98,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2018,15.59165094,10.53021226,8.328183962,9.455412736,15591650.94,10530212.26,8328183.962,9455412.736,SonyEricsson,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.615466203,0.616170398,0.591523582,0.992914584,615466.203,616170.3977,591523.5818,992914.5838,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2011,1.435334852,1.64833713,1.797703872,1.508692483,1435334.852,1648337.13,1797703.872,1508692.483,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2012,3.883097989,3.675524176,2.728861789,2.821116816,3883097.989,3675524.176,2728861.789,2821116.816,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2013,5.319790274,4.16655681,3.477510947,3.762479834,5319790.274,4166556.81,3477510.947,3762479.834,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2014,7.79404402,6.677554469,5.376256114,5.997885727,7794044.02,6677554.469,5376256.114,5997885.727,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2015,9.114238806,7.486477612,5.817104478,5.880746269,9114238.806,7486477.612,5817104.478,5880746.269,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2016,8.745114917,5.986392519,4.696493916,5.322147364,8745114.917,5986392.519,4696493.916,5322147.364,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2017,6.992459217,4.533621533,3.664588091,4.169216966,6992459.217,4533621.533,3664588.091,4169216.966,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2018,4.452586478,3.007165881,2.378321541,2.700229953,4452586.478,3007165.881,2378321.541,2700229.953,SonyEricsson,Others,,,,,,,,,,,,,,,,,,
2010,0.001899587,0.00190176,0.00182569,0.003064551,1899.587046,1901.760487,1825.690067,3064.551185,Motorola,UK,,,,,,,,,,,,,,,,,,
2011,0.018496583,0.021241458,0.023166287,0.019441913,18496.58314,21241.45786,23166.28702,19441.91344,Motorola,UK,,,,,,,,,,,,,,,,,,
2012,0.221891314,0.210029953,0.155934959,0.161206675,221891.3136,210029.9529,155934.9593,161206.6752,Motorola,UK,,,,,,,,,,,,,,,,,,
2013,0.319407698,0.250165937,0.208794653,0.225904586,319407.6976,250165.9369,208794.6531,225904.5863,Motorola,UK,,,,,,,,,,,,,,,,,,
2014,1.043743886,0.894228546,0.719964429,0.803210316,1043743.886,894228.546,719964.4286,803210.3157,Motorola,UK,,,,,,,,,,,,,,,,,,
2015,2.127714286,1.747714286,1.358,1.372857143,2127714.286,1747714.286,1358000,1372857.143,Motorola,UK,,,,,,,,,,,,,,,,,,
2016,2.257890942,1.545619648,1.212582244,1.374118973,2257890.942,1545619.648,1212582.244,1374118.973,Motorola,UK,,,,,,,,,,,,,,,,,,
2017,2.458535889,1.594013051,1.28846248,1.46588907,2458535.889,1594013.051,1288462.48,1465889.07,Motorola,UK,,,,,,,,,,,,,,,,,,
2018,2.917735849,1.970566038,1.558490566,1.769433962,2917735.849,1970566.038,1558490.566,1769433.962,Motorola,UK,,,,,,,,,,,,,,,,,,
2010,4.095509672,4.10019561,3.936187785,6.607172354,4095509.672,4100195.61,3936187.785,6607172.354,Motorola,US,,,,,,,,,,,,,,,,,,
2011,7.195170843,8.262927107,9.011685649,7.562904328,7195170.843,8262927.107,9011685.649,7562904.328,Motorola,US,,,,,,,,,,,,,,,,,,
2012,16.09504493,15.23467266,11.31085366,11.69324134,16095044.93,15234672.66,11310853.66,11693241.34,Motorola,US,,,,,,,,,,,,,,,,,,
2013,20.91569717,16.38155566,13.67244987,14.7928555,20915697.17,16381555.66,13672449.87,14792855.5,Motorola,US,,,,,,,,,,,,,,,,,,
2014,18.74200978,16.05723433,12.92805691,14.42286349,18742009.78,16057234.33,12928056.91,14422863.49,Motorola,US,,,,,,,,,,,,,,,,,,
2015,33.85288699,27.80691684,21.60638806,21.84277186,33852886.99,27806916.84,21606388.06,21842771.86,Motorola,US,,,,,,,,,,,,,,,,,,
2016,33.88521406,23.1958292,18.19778279,20.62203921,33885214.06,23195829.2,18197782.79,20622039.21,Motorola,US,,,,,,,,,,,,,,,,,,
2017,30.84345024,19.99761827,16.16434747,18.3902447,30843450.24,19997618.27,16164347.47,18390244.7,Motorola,US,,,,,,,,,,,,,,,,,,
2018,30.72740566,20.75252358,16.41285377,18.63435142,30727405.66,20752523.58,16412853.77,18634351.42,Motorola,US,,,,,,,,,,,,,,,,,,
2010,7.072162573,7.080254293,6.797044121,11.40932406,7072162.573,7080254.293,6797044.121,11409324.06,Motorola,China,,,,,,,,,,,,,,,,,,
2011,13.3027426,15.27685649,16.66119362,13.98262415,13302742.6,15276856.49,16661193.62,13982624.15,Motorola,China,,,,,,,,,,,,,,,,,,
2012,26.37336757,24.96356012,18.53398374,19.16056483,26373367.57,24963560.12,18533983.74,19160564.83,Motorola,China,,,,,,,,,,,,,,,,,,
2013,38.06458631,29.81287854,24.8825628,26.92159484,38064586.31,29812878.54,24882562.8,26921594.84,Motorola,China,,,,,,,,,,,,,,,,,,
2014,35.43056692,30.35517119,24.43966207,27.265498,35430566.92,30355171.19,24439662.07,27265498,Motorola,China,,,,,,,,,,,,,,,,,,
2015,45.30126013,37.21066311,28.91323881,29.2295629,45301260.13,37210663.11,28913238.81,29229562.9,Motorola,China,,,,,,,,,,,,,,,,,,
2016,50.93734565,34.86871789,27.35549347,30.99971384,50937345.65,34868717.89,27355493.47,30999713.84,Motorola,China,,,,,,,,,,,,,,,,,,
2017,42.38579731,27.48119902,22.21342781,25.27230832,42385797.31,27481199.02,22213427.81,25272308.32,Motorola,China,,,,,,,,,,,,,,,,,,
2018,39.00952044,26.34605739,20.83669418,23.65696344,39009520.44,26346057.39,20836694.18,23656963.44,Motorola,China,,,,,,,,,,,,,,,,,,
2010,1.753318844,1.755324929,1.685111932,2.828580743,1753318.844,1755324.929,1685111.932,2828580.743,Motorola,Canada,,,,,,,,,,,,,,,,,,
2011,4.23571754,4.86429385,5.305079727,4.452198178,4235717.54,4864293.85,5305079.727,4452198.178,Motorola,Canada,,,,,,,,,,,,,,,,,,
2012,9.676046213,9.158806162,6.799878049,7.029762516,9676046.213,9158806.162,6799878.049,7029762.516,Motorola,Canada,,,,,,,,,,,,,,,,,,
2013,15.77213183,12.35302143,10.31013598,11.15501268,15772131.83,12353021.43,10310135.98,11155012.68,Motorola,Canada,,,,,,,,,,,,,,,,,,
2014,13.55732548,11.61525122,9.351711872,10.43300356,13557325.48,11615251.22,9351711.872,10433003.56,Motorola,Canada,,,,,,,,,,,,,,,,,,
2015,14.48115991,11.89489126,9.242507463,9.343624733,14481159.91,11894891.26,9242507.463,9343624.733,Motorola,Canada,,,,,,,,,,,,,,,,,,
2016,18.90562416,12.94168094,10.15311402,11.50568274,18905624.16,12941680.94,10153114.02,11505682.74,Motorola,Canada,,,,,,,,,,,,,,,,,,
2017,19.36496126,12.55544046,10.14873369,11.54625612,19364961.26,12555440.46,10148733.69,11546256.12,Motorola,Canada,,,,,,,,,,,,,,,,,,
2018,20.43934748,13.80422563,10.9175511,12.39525354,20439347.48,13804225.63,10917551.1,12395253.54,Motorola,Canada,,,,,,,,,,,,,,,,,,
2010,3.521834384,3.525863943,3.384829385,5.681677896,3521834.384,3525863.943,3384829.385,5681677.896,Motorola,Africa,,,,,,,,,,,,,,,,,,
2011,7.406031891,8.505079727,9.275781321,7.784542141,7406031.891,8505079.727,9275781.321,7784542.141,Motorola,Africa,,,,,,,,,,,,,,,,,,
2012,16.83996577,15.93977321,11.83434959,12.23443517,16839965.77,15939773.21,11834349.59,12234435.17,Motorola,Africa,,,,,,,,,,,,,,,,,,
2013,20.66237382,16.18314819,13.50685411,14.61368979,20662373.82,16183148.19,13506854.11,14613689.79,Motorola,Africa,,,,,,,,,,,,,,,,,,
2014,26.49067363,22.69590929,18.27301023,20.38582703,26490673.63,22695909.29,18273010.23,20385827.03,Motorola,Africa,,,,,,,,,,,,,,,,,,
2015,35.7900597,29.3981194,22.84277612,23.09268657,35790059.7,29398119.4,22842776.12,23092686.57,Motorola,Africa,,,,,,,,,,,,,,,,,,
2016,35.85665615,24.54536278,19.25652997,21.82182965,35856656.15,24545362.78,19256529.97,21821829.65,Motorola,Africa,,,,,,,,,,,,,,,,,,
2017,36.19156403,23.46511419,18.9671717,21.57902936,36191564.03,23465114.19,18967171.7,21579029.36,Motorola,Africa,,,,,,,,,,,,,,,,,,
2018,31.79116352,21.47095912,16.98105346,19.27945755,31791163.52,21470959.12,16981053.46,19279457.55,Motorola,Africa,,,,,,,,,,,,,,,,,,
2010,1.939478374,1.941697457,1.864029559,3.128906759,1939478.374,1941697.457,1864029.559,3128906.759,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2011,4.146933941,4.762334852,5.193881549,4.358876993,4146933.941,4762334.852,5193881.549,4358876.993,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2012,8.067334189,7.636089003,5.669349593,5.861014121,8067334.189,7636089.003,5669349.593,5861014.121,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2013,9.890624568,7.746517631,6.465434432,6.995252362,9890624.568,7746517.631,6465434.432,6995252.362,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2014,11.64001334,9.972592263,8.029168519,8.957541129,11640013.34,9972592.263,8029168.519,8957541.129,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2015,14.65582303,12.03836034,9.353985075,9.456321962,14655823.03,12038360.34,9353985.075,9456321.962,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2016,19.09097341,13.06856016,10.25265435,11.61848355,19090973.41,13068560.16,10252654.35,11618483.55,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2017,20.03547104,12.99017129,10.50013254,11.94604405,20035471.04,12990171.29,10500132.54,11946044.05,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2018,21.47271226,14.50213443,11.46951651,13.02192807,21472712.26,14502134.43,11469516.51,13021928.07,Motorola,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.611667029,0.612366877,0.587872202,0.986785481,611667.0289,612366.8768,587872.2017,986785.4814,Motorola,Others,,,,,,,,,,,,,,,,,,
2011,0.688072893,0.790182232,0.861785877,0.72323918,688072.8929,790182.2323,861785.877,723239.18,Motorola,Others,,,,,,,,,,,,,,,,,,
2012,1.973247754,1.867766367,1.386707317,1.433587933,1973247.754,1867766.367,1386707.317,1433587.933,Motorola,Others,,,,,,,,,,,,,,,,,,
2013,4.515764001,3.536828762,2.951924407,3.193823462,4515764.001,3536828.762,2951924.407,3193823.462,Motorola,Others,,,,,,,,,,,,,,,,,,
2014,6.546089373,5.608368164,4.51542908,5.037525567,6546089.373,5608368.164,4515429.08,5037525.567,Motorola,Others,,,,,,,,,,,,,,,,,,
2015,12.57574414,10.32977399,8.02638806,8.114200426,12575744.14,10329773.99,8026388.06,8114200.426,Motorola,Others,,,,,,,,,,,,,,,,,,
2016,7.565619648,5.17897927,4.06305543,4.60432402,7565619.648,5178979.27,4063055.43,4604324.02,Motorola,Others,,,,,,,,,,,,,,,,,,
2017,8.36540783,5.423784666,4.384119086,4.987830343,8365407.83,5423784.666,4384119.086,4987830.343,Motorola,Others,,,,,,,,,,,,,,,,,,
2018,5.607523585,3.787181604,2.995224057,3.400630896,5607523.585,3787181.604,2995224.057,3400630.896,Motorola,Others,,,,,,,,,,,,,,,,,,
2010,0.03229298,0.032329928,0.031036731,0.05209737,32292.97979,32329.92828,31036.73115,52097.37014,Google,UK,,,,,,,,,,,,,,,,,,
2011,0.051790433,0.059476082,0.064865604,0.054437358,51790.4328,59476.082,64865.60364,54437.35763,Google,UK,,,,,,,,,,,,,,,,,,
2012,0.459632007,0.435062045,0.32300813,0.333928113,459632.0068,435062.0454,323008.1301,333928.113,Google,UK,,,,,,,,,,,,,,,,,,
2013,0.308393639,0.241539525,0.201594838,0.218114773,308393.6391,241539.5252,201594.8375,218114.773,Google,UK,,,,,,,,,,,,,,,,,,
2014,1.032398844,0.884508671,0.712138728,0.794479769,1032398.844,884508.6705,712138.7283,794479.7688,Google,UK,,,,,,,,,,,,,,,,,,
2015,1.381426439,1.134710021,0.881686567,0.891332623,1381426.439,1134710.021,881686.5672,891332.6226,Google,UK,,,,,,,,,,,,,,,,,,
2016,1.027845877,0.703602974,0.551996395,0.625531771,1027845.877,703602.9743,551996.3948,625531.7711,Google,UK,,,,,,,,,,,,,,,,,,
2017,1.42084217,0.921215334,0.744630914,0.847169657,1420842.17,921215.3344,744630.9135,847169.6574,Google,UK,,,,,,,,,,,,,,,,,,
2018,1.580440252,1.067389937,0.84418239,0.958443396,1580440.252,1067389.937,844182.3899,958443.3962,Google,UK,,,,,,,,,,,,,,,,,,
2010,9.13891328,9.149369702,8.783394914,14.74355575,9138913.28,9149369.702,8783394.914,14743555.75,Google,US,,,,,,,,,,,,,,,,,,
2011,17.47187244,20.06468109,21.88287472,18.36483144,17471872.44,20064681.09,21882874.72,18364831.44,Google,US,,,,,,,,,,,,,,,,,,
2012,36.27130509,34.33239623,25.48979675,26.35153402,36271305.09,34332396.23,25489796.75,26351534.02,Google,US,,,,,,,,,,,,,,,,,,
2013,46.67758009,36.55873243,30.51281862,33.01322885,46677580.09,36558732.43,30512818.62,33013228.85,Google,US,,,,,,,,,,,,,,,,,,
2014,49.04461761,42.01902179,33.83050245,37.74215429,49044617.61,42019021.79,33830502.45,37742154.29,Google,US,,,,,,,,,,,,,,,,,,
2015,73.58080597,60.43961194,46.96247761,47.47626866,73580805.97,60439611.94,46962477.61,47476268.66,Google,US,,,,,,,,,,,,,,,,,,
2016,75.08329878,51.39762055,40.32288418,45.69458315,75083298.78,51397620.55,40322884.18,45694583.15,Google,US,,,,,,,,,,,,,,,,,,
2017,73.22924755,47.47881729,38.37777529,43.66255302,73229247.55,47478817.29,38377775.29,43662553.02,Google,US,,,,,,,,,,,,,,,,,,
2018,65.77062893,44.41984277,35.13097484,39.88599057,65770628.93,44419842.77,35130974.84,39885990.57,Google,US,,,,,,,,,,,,,,,,,,
2010,3.500938926,3.504944577,3.364746794,5.647967833,3500938.926,3504944.577,3364746.794,5647967.833,Google,China,,,,,,,,,,,,,,,,,,
2011,5.748738041,6.601845103,7.200082005,6.042546697,5748738.041,6601845.103,7200082.005,6042546.697,Google,China,,,,,,,,,,,,,,,,,,
2012,13.97122807,13.22438596,9.818333333,10.15026316,13971228.07,13224385.96,9818333.333,10150263.16,Google,China,,,,,,,,,,,,,,,,,,
2013,16.03646923,12.56005531,10.48293155,11.3419682,16036469.23,12560055.31,10482931.55,11341968.2,Google,China,,,,,,,,,,,,,,,,,,
2014,19.60423299,16.79594486,13.52281014,15.08638506,19604232.99,16795944.86,13522810.14,15086385.06,Google,China,,,,,,,,,,,,,,,,,,
2015,26.40588699,21.68991684,16.85338806,17.03777186,26405886.99,21689916.84,16853388.06,17037771.86,Google,China,,,,,,,,,,,,,,,,,,
2016,29.40313204,20.12765886,15.79071654,17.8943105,29403132.04,20127658.86,15790716.54,17894310.5,Google,China,,,,,,,,,,,,,,,,,,
2017,19.66828711,12.7521044,10.30769984,11.72711256,19668287.11,12752104.4,10307699.84,11727112.56,Google,China,,,,,,,,,,,,,,,,,,
2018,30.89456761,20.8654206,16.5021423,18.73572524,30894567.61,20865420.6,16502142.3,18735725.24,Google,China,,,,,,,,,,,,,,,,,,
2010,1.753318844,1.755324929,1.685111932,2.828580743,1753318.844,1755324.929,1685111.932,2828580.743,Google,Canada,,,,,,,,,,,,,,,,,,
2011,4.23571754,4.86429385,5.305079727,4.452198178,4235717.54,4864293.85,5305079.727,4452198.178,Google,Canada,,,,,,,,,,,,,,,,,,
2012,9.676046213,9.158806162,6.799878049,7.029762516,9676046.213,9158806.162,6799878.049,7029762.516,Google,Canada,,,,,,,,,,,,,,,,,,
2013,15.77213183,12.35302143,10.31013598,11.15501268,15772131.83,12353021.43,10310135.98,11155012.68,Google,Canada,,,,,,,,,,,,,,,,,,
2014,13.55732548,11.61525122,9.351711872,10.43300356,13557325.48,11615251.22,9351711.872,10433003.56,Google,Canada,,,,,,,,,,,,,,,,,,
2015,14.48115991,11.89489126,9.242507463,9.343624733,14481159.91,11894891.26,9242507.463,9343624.733,Google,Canada,,,,,,,,,,,,,,,,,,
2016,17.38913024,11.90357819,9.338693105,10.58276701,17389130.24,11903578.19,9338693.105,10582767.01,Google,Canada,,,,,,,,,,,,,,,,,,
2017,17.80043842,11.54106852,9.328803018,10.61341762,17800438.42,11541068.52,9328803.018,10613417.62,Google,Canada,,,,,,,,,,,,,,,,,,
2018,16.03235063,10.82784984,8.563580975,9.722670991,16032350.63,10827849.84,8563580.975,9722670.991,Google,Canada,,,,,,,,,,,,,,,,,,
2010,2.522651597,2.525537927,2.424516409,4.069723973,2522651.597,2525537.927,2424516.409,4069723.973,Google,Africa,,,,,,,,,,,,,,,,,,
2011,4.561257403,5.238143508,5.712806378,4.794375854,4561257.403,5238143.508,5712806.378,4794375.854,Google,Africa,,,,,,,,,,,,,,,,,,
2012,8.645836543,8.183667095,6.075894309,6.281302953,8645836.543,8183667.095,6075894.309,6281302.953,Google,Africa,,,,,,,,,,,,,,,,,,
2013,10.81580549,8.471136206,7.070218944,7.649596681,10815805.49,8471136.206,7070218.944,7649596.681,Google,Africa,,,,,,,,,,,,,,,,,,
2014,11.46983771,9.826794131,7.911783015,8.826582926,11469837.71,9826794.131,7911783.015,8826582.926,Google,Africa,,,,,,,,,,,,,,,,,,
2015,19.65753945,16.14679318,12.54629851,12.68356077,19657539.45,16146793.18,12546298.51,12683560.77,Google,Africa,,,,,,,,,,,,,,,,,,
2016,22.44410996,15.36392068,12.05342947,13.65915277,22444109.96,15363920.68,12053429.47,13659152.77,Google,Africa,,,,,,,,,,,,,,,,,,
2017,23.06872961,14.95681077,12.08979405,13.75460848,23068729.61,14956810.77,12089794.05,13754608.48,Google,Africa,,,,,,,,,,,,,,,,,,
2018,23.12913522,15.62084119,12.35428459,14.02645047,23129135.22,15620841.19,12354284.59,14026450.47,Google,Africa,,,,,,,,,,,,,,,,,,
2010,1.730523799,1.732503804,1.663203651,2.791806129,1730523.799,1732503.804,1663203.651,2791806.129,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2011,4.431781321,5.089453303,5.550642369,4.65828246,4431781.321,5089453.303,5550642.369,4658282.46,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2012,8.534890886,8.078652118,5.997926829,6.200699615,8534890.886,8078652.118,5997926.829,6200699.615,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2013,9.890624568,7.746517631,6.465434432,6.995252362,9890624.568,7746517.631,6465434.432,6995252.362,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2014,11.64001334,9.972592263,8.029168519,8.957541129,11640013.34,9972592.263,8029168.519,8957541.129,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2015,14.65582303,12.03836034,9.353985075,9.456321962,14655823.03,12038360.34,9353985.075,9456321.962,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2016,13.95174403,9.550545291,7.492672375,8.490824696,13951744.03,9550545.291,7492672.375,8490824.696,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2017,16.09223491,10.43353997,8.433572594,9.594910277,16092234.91,10433539.97,8433572.594,9594910.277,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2018,10.97190252,7.410149371,5.860573899,6.653808962,10971902.52,7410149.371,5860573.899,6653808.962,Google,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.317231037,0.317594001,0.304890241,0.511780048,317231.0367,317594.0013,304890.2413,511780.0478,Google,Others,,,,,,,,,,,,,,,,,,
2011,0.492009112,0.565022779,0.616223235,0.517154897,492009.1116,565022.779,616223.2346,517154.8975,Google,Others,,,,,,,,,,,,,,,,,,
2012,1.687958922,1.597727856,1.186219512,1.226322208,1687958.922,1597727.856,1186219.512,1226322.208,Google,Others,,,,,,,,,,,,,,,,,,
2013,10.63958055,8.333113621,6.955021894,7.524959668,10639580.55,8333113.621,6955021.894,7524959.668,Google,Others,,,,,,,,,,,,,,,,,,
2014,7.101996443,6.084642063,4.898888395,5.465322365,7101996.443,6084642.063,4898888.395,5465322.365,Google,Others,,,,,,,,,,,,,,,,,,
2015,8.622006397,7.08215565,5.502940299,5.563144989,8622006.397,7082155.65,5502940.299,5563144.989,Google,Others,,,,,,,,,,,,,,,,,,
2016,9.200063091,6.297823344,4.940820189,5.599022082,9200063.091,6297823.344,4940820.189,5599022.082,Google,Others,,,,,,,,,,,,,,,,,,
2017,8.36540783,5.423784666,4.384119086,4.987830343,8365407.83,5423784.666,4384119.086,4987830.343,Google,Others,,,,,,,,,,,,,,,,,,
2018,3.586383648,2.422154088,1.915644654,2.174929245,3586383.648,2422154.088,1915644.654,2174929.245,Google,Others,,,,,,,,,,,,,,,,,,
2010,0.01899587,0.019017605,0.018256901,0.030645512,18995.87046,19017.60487,18256.90067,30645.51185,LG,UK,,,,,,,,,,,,,,,,,,
2011,0.062888383,0.072220957,0.078765376,0.066102506,62888.38269,72220.95672,78765.37585,66102.50569,LG,UK,,,,,,,,,,,,,,,,,,
2012,0.309062901,0.29254172,0.217195122,0.224537869,309062.9012,292541.7202,217195.122,224537.8691,LG,UK,,,,,,,,,,,,,,,,,,
2013,0.385492049,0.301924407,0.251993547,0.272643466,385492.0489,301924.4065,251993.5469,272643.4662,LG,UK,,,,,,,,,,,,,,,,,,
2014,0.771462872,0.660951534,0.532147621,0.59367719,771462.8724,660951.534,532147.6212,593677.1899,LG,UK,,,,,,,,,,,,,,,,,,
2015,1.984808102,1.63033049,1.266791045,1.28065032,1984808.102,1630330.49,1266791.045,1280650.32,LG,UK,,,,,,,,,,,,,,,,,,
2016,2.763388914,1.891653898,1.484055881,1.681757548,2763388.914,1891653.898,1484055.881,1681757.548,LG,UK,,,,,,,,,,,,,,,,,,
2017,2.282926183,1.480154976,1.196429445,1.361182708,2282926.183,1480154.976,1196429.445,1361182.708,LG,UK,,,,,,,,,,,,,,,,,,
2018,1.960353774,1.323974057,1.047110849,1.188838443,1960353.774,1323974.057,1047110.849,1188838.443,LG,UK,,,,,,,,,,,,,,,,,,
2010,3.690897631,3.695120626,3.547315801,5.954422952,3690897.631,3695120.626,3547315.801,5954422.952,LG,US,,,,,,,,,,,,,,,,,,
2011,6.118669704,7.02667426,7.663407745,6.431384966,6118669.704,7026674.26,7663407.745,6431384.966,LG,US,,,,,,,,,,,,,,,,,,
2012,12.38629012,11.72417202,8.704512195,8.998786906,12386290.12,11724172.02,8704512.195,8998786.906,LG,US,,,,,,,,,,,,,,,,,,
2013,16.03646923,12.56005531,10.48293155,11.3419682,16036469.23,12560055.31,10482931.55,11341968.2,LG,US,,,,,,,,,,,,,,,,,,
2014,16.20072032,13.87998221,11.17510004,12.46722099,16200720.32,13879982.21,11175100.04,12467220.99,LG,US,,,,,,,,,,,,,,,,,,
2015,24.81804051,20.38565245,15.83995522,16.0132516,24818040.51,20385652.45,15839955.22,16013251.6,LG,US,,,,,,,,,,,,,,,,,,
2016,29.57163137,20.24300361,15.88120775,17.99685669,29571631.37,20243003.61,15881207.75,17996856.69,LG,US,,,,,,,,,,,,,,,,,,
2017,20.46651305,13.26964111,10.72603181,12.20305057,20466513.05,13269641.11,10726031.81,12203050.57,LG,US,,,,,,,,,,,,,,,,,,
2018,30.89456761,20.8654206,16.5021423,18.73572524,30894567.61,20865420.6,16502142.3,18735725.24,LG,US,,,,,,,,,,,,,,,,,,
2010,8.948954575,8.959193654,8.600825907,14.43710063,8948954.575,8959193.654,8600825.907,14437100.63,LG,China,,,,,,,,,,,,,,,,,,
2011,16.73200911,19.21502278,20.95622323,17.5871549,16732009.11,19215022.78,20956223.23,17587154.9,LG,China,,,,,,,,,,,,,,,,,,
2012,37.85624305,35.83261018,26.60361789,27.50301027,37856243.05,35832610.18,26603617.89,27503010.27,LG,China,,,,,,,,,,,,,,,,,,
2013,48.8803918,38.28401475,31.95278175,34.57119152,48880391.8,38284014.75,31952781.75,34571191.52,LG,China,,,,,,,,,,,,,,,,,,
2014,49.04461761,42.01902179,33.83050245,37.74215429,49044617.61,42019021.79,33830502.45,37742154.29,LG,China,,,,,,,,,,,,,,,,,,
2015,67.22942004,55.22255437,42.90874627,43.37818763,67229420.04,55222554.37,42908746.27,43378187.63,LG,China,,,,,,,,,,,,,,,,,,
2016,75.08329878,51.39762055,40.32288418,45.69458315,75083298.78,51397620.55,40322884.18,45694583.15,LG,China,,,,,,,,,,,,,,,,,,
2017,73.22924755,47.47881729,38.37777529,43.66255302,73229247.55,47478817.29,38377775.29,43662553.02,LG,China,,,,,,,,,,,,,,,,,,
2018,65.77062893,44.41984277,35.13097484,39.88599057,65770628.93,44419842.77,35130974.84,39885990.57,LG,China,,,,,,,,,,,,,,,,,,
